age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
39.0,Man,White,Grade 9,No,Gauteng,No,,
72.0,Woman,Asian/Indian,Grade 0,,KwaZulu-Natal,No,,
30.0,Woman,African/Black,Grade 10,Yes,Gauteng,No,,
48.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
49.0,Woman,African/Black,Grade 9,No,Gauteng,No,,
34.0,Man,African/Black,Grade 9,No,Gauteng,No,,
63.0,Man,African/Black,Grade 11,No,Gauteng,No,,
50.0,Woman,African/Black,Grade 6,,Gauteng,No,,
,Woman,African/Black,Grade 0,,Gauteng,No,,
31.0,Man,African/Black,Grade 10,No,Gauteng,No,,
48.0,Woman,African/Black,Grade 12,Yes,KwaZulu-Natal,No,,
42.0,Man,African/Black,Grade 10,Yes,Eastern Cape,No,,
56.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 12,Yes,Eastern Cape,No,,
54.0,Woman,Coloured,Grade 11,No,Gauteng,No,,
52.0,Woman,Coloured,Grade 12,No,Gauteng,No,,
28.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
44.0,Man,Coloured,Grade 12,No,Gauteng,No,,
51.0,Woman,Coloured,Grade 7,,Gauteng,No,,
39.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
40.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
,Man,African/Black,Grade 12,Yes,Free State,No,,
54.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
32.0,Man,African/Black,Grade 11,No,Gauteng,No,,
50.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
39.0,Man,African/Black,Grade 11,No,Gauteng,No,,
41.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
35.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
43.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
48.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
64.0,Woman,African/Black,Grade 7,,Free State,No,,
56.0,Woman,African/Black,Grade 8,,Gauteng,No,,
86.0,Woman,African/Black,None,,Gauteng,No,,
32.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
44.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
,Woman,African/Black,None,,Gauteng,No,,
46.0,Man,African/Black,Grade 3,,Gauteng,No,,
61.0,Man,African/Black,Grade 11,No,Gauteng,No,,
36.0,Woman,African/Black,Grade 10,Yes,Gauteng,No,,
30.0,Man,African/Black,Grade 12,No,Gauteng,No,,
33.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
37.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
36.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
49.0,Man,African/Black,Grade 11,No,Gauteng,No,,
45.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
39.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
41.0,Man,African/Black,Grade 5,,Mpumalanga,No,,
48.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
57.0,Woman,African/Black,Grade 7,,Gauteng,No,,
41.0,Woman,African/Black,Grade 11,No,Gauteng,Yes,Gauteng,Limpopo
37.0,Woman,African/Black,Grade 12,Yes,Eastern Cape,No,,
58.0,Man,African/Black,Grade 11,No,Gauteng,No,,
35.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
32.0,Man,African/Black,Grade 10,Yes,Gauteng,Yes,Free State,Free State
61.0,Woman,African/Black,Grade 7,,Gauteng,No,,
45.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
,Man,African/Black,Grade 12,Yes,Gauteng,No,,
38.0,Woman,African/Black,None,,Western Cape,No,,
32.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
62.0,Man,African/Black,Grade 5,,Gauteng,No,,
29.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
42.0,Man,African/Black,Grade 4,,North West,No,,
34.0,Woman,African/Black,Grade 12,Yes,North West,No,,
40.0,Woman,African/Black,NCV 4,Yes,Gauteng,No,,
58.0,Woman,African/Black,Grade 4,,Mpumalanga,No,,
54.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
50.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
54.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
60.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
41.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
31.0,Man,African/Black,Grade 12,No,Gauteng,No,,
43.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
50.0,Man,African/Black,Grade 11,No,North West,No,,
70.0,Woman,African/Black,Grade 5,,Limpopo,No,,
39.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
36.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
,Woman,African/Black,Grade 0,,Limpopo,No,,
44.0,Woman,African/Black,Grade 10,No,Limpopo,No,,
45.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
61.0,Woman,African/Black,Grade 3,,Limpopo,No,,
32.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
34.0,Man,African/Black,Grade 10,No,Limpopo,No,,
28.0,Woman,African/Black,Grade 8,,Limpopo,No,,
32.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
29.0,Woman,African/Black,Grade 11,Yes,Limpopo,No,,
35.0,Man,African/Black,Grade 11,No,Limpopo,No,,
46.0,Man,African/Black,Grade 10,No,Limpopo,No,,
38.0,Man,African/Black,Grade 5,,Limpopo,No,,
33.0,Man,African/Black,Grade 10,Yes,Mpumalanga,No,,
57.0,Woman,African/Black,None,,Mpumalanga,No,,
32.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
,Woman,African/Black,None,,Limpopo,No,,
36.0,Man,African/Black,Grade 12,No,Limpopo,No,,
32.0,Man,African/Black,Grade 11,No,Gauteng,No,,
68.0,Man,African/Black,Grade 2,,Limpopo,No,,
29.0,Woman,African/Black,Grade 9,No,Limpopo,No,,
38.0,Man,African/Black,Grade 12,No,Limpopo,No,,
,Woman,African/Black,Grade 11,No,Limpopo,No,,
44.0,Man,African/Black,Grade 11,Yes,Limpopo,No,,
39.0,Woman,African/Black,Grade 12,Yes,North West,No,,
47.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,Yes,Mpumalanga,Mpumalanga
45.0,Man,African/Black,Grade 11,No,,No,,
43.0,Woman,African/Black,Grade 5,,Mpumalanga,No,,
35.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
57.0,Woman,African/Black,Grade 1,,Mpumalanga,No,,
33.0,Man,African/Black,Grade 11,Yes,Mpumalanga,Yes,Mpumalanga,Mpumalanga
46.0,Man,African/Black,Grade 8,,Mpumalanga,No,,
41.0,Woman,African/Black,Grade 6,,Mpumalanga,No,,
55.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
42.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
