labour_in_feb,work_days_feb,work_hours_feb,take_home_pay_feb,labour_in_apr,work_days_apr,work_hours_apr,take_home_pay_apr,lost_labour,kept_labour,return_to_work,usual_work
1,,,180.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,3.0,5.0,900.0,0,0,0,0,1,0,1,Elementary occupations
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,6.0,10.0,8000.0,0,0,0,0,1,0,0,Unknown
1,3.0,8.0,4600.0,1,,,,0,1,1,Self-Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,5.0,8.0,25000.0,1,5.0,9.0,25000.0,0,1,1,Technicians and associate professionals
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,2.0,2.0,,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,4.0,6.0,3500.0,1,4.0,6.0,3500.0,0,1,1,Technicians and associate professionals
1,5.0,7.0,7000.0,1,,,7000.0,0,1,1,Professionals
1,5.0,8.0,4500.0,0,0,0,0,1,0,1,Elementary occupations
0,0,0,0,0,0,0,0,0,0,1,Self-Employed
1,7.0,6.0,2500.0,0,0,0,0,1,0,0,Unknown
1,2.0,6.0,500.0,0,0,0,0,1,0,0,Unknown
1,4.0,12.0,,1,4.0,12.0,8000.0,0,1,1,Technicians and associate professionals
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,5.0,1.0,450.0,1,,,,0,1,1,Self-Employed
1,5.0,7.0,,0,0,0,0,1,0,1,Professionals
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,3.0,4.0,1900.0,1,2.0,9.0,600.0,0,1,1,Elementary occupations
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,2.0,7.0,400.0,1,5.0,7.0,,0,1,1,Craft and related trades workers
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,3.0,12.0,3000.0,0,0,0,0,1,0,0,Unknown
1,5.0,8.0,5500.0,0,0,0,0,1,0,0,Service and sales workers
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,7.0,12.0,4600.0,1,7.0,12.0,4600.0,0,1,1,Professionals
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,5.0,8.0,4000.0,1,5.0,8.0,4200.0,0,1,1,Service and sales workers
1,5.0,6.0,3500.0,1,5.0,8.0,7200.0,0,1,1,Professionals
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,1.0,8.0,800.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,5.0,7.0,90.0,1,0.0,0.0,,0,1,1,Elementary occupations
1,5.0,8.0,2000.0,1,,,,0,1,1,Self-Employed
1,5.0,11.0,6500.0,1,5.0,11.0,6500.0,0,1,1,"Plant and machine operators, and assemblers"
1,0.0,0.0,0.0,0,0,0,0,1,0,0,Unknown
1,5.0,8.0,3500.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,1.0,2.0,100.0,1,1.0,2.0,,0,1,1,Self-Employed
1,4.0,3.0,3500.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,1,7.0,5.0,,0,0,1,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,5.0,8.0,5400.0,0,0,0,0,1,0,0,Unknown
1,5.0,5.0,1250.0,0,0,0,0,1,0,0,Elementary occupations
1,4.0,8.0,700.0,0,0,0,0,1,0,0,Unknown
1,5.0,8.0,,0,0,0,0,1,0,1,Craft and related trades workers
1,5.0,9.0,9000.0,1,4.0,9.0,6000.0,0,1,1,Elementary occupations
1,6.0,10.0,7000.0,1,6.0,10.0,7000.0,0,1,1,Service and sales workers
1,6.0,9.0,1000.0,0,0,0,0,1,0,0,Unknown
1,7.0,12.0,2600.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,7.0,8.0,,1,,,,0,1,1,Clerical support workers
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,,,980.0,0,0,0,0,1,0,0,Unknown
1,3.0,8.0,1100.0,0,0,0,0,1,0,0,Unknown
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
0,0,0,0,0,0,0,0,0,0,0,Not Employed
1,6.0,,1000.0,1,,,,0,1,1,Self-Employed
1,7.0,12.0,3100.0,1,7.0,12.0,3100.0,0,1,1,Service and sales workers
