job_in_feb,work_in_feb,bus_in_feb,work_days_feb,work_hours_feb,take_home_pay_feb,job_in_apr,work_in_apr,bus_in_apr,work_days_apr,work_hours_apr,take_home_pay_apr,last_monthly_pay_apr,return_to_work,main_form_work,usual_work
Yes,,,,,180.0,No,No,No - I did nothing,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,5.0,900.0,No,No,No - I did nothing,5.0,5.0,,,Yes,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
,,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,6.0,10.0,8000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,8.0,4600.0,No,No,Yes,,,2000.0,,,Self-employed,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I'm employed,,,,No,No,No - I'm employed,,,,,,,Not Employed
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,25000.0,Yes,,,5.0,9.0,,25000.0,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,Yes,,2.0,2.0,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,6.0,3500.0,Yes,,,4.0,6.0,,3500.0,,Regular job,Technicians and associate professionals
Yes,,,5.0,7.0,7000.0,Yes,,,,,,7000.0,,Regular job,Professionals
Yes,,,5.0,8.0,4500.0,No,No,No - I did nothing,0.0,0.0,,0.0,Yes,Regular job,Elementary occupations
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,Self-employed,
No,Yes,,7.0,6.0,2500.0,No,No,No - I did nothing,,,,,No,,
No,No,Yes,2.0,6.0,500.0,No,No,No - I did nothing,,,,,No,,
Yes,,,4.0,12.0,,Yes,,,4.0,12.0,,8000.0,,Casual work,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,1.0,450.0,No,No,Yes,,,,,,Self-employed,
Yes,,,5.0,7.0,,No,No,No - I did nothing,,,,,Yes,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,4.0,1900.0,Yes,,,2.0,9.0,,600.0,,Casual work,Elementary occupations
"No, I'm retired",,,,,,,,,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,Yes,,2.0,7.0,400.0,Yes,,,5.0,7.0,,,,Casual work,Craft and related trades workers
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,3.0,12.0,3000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,5500.0,No,No,No - I'm employed,,,,5500.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,4600.0,Yes,,,7.0,12.0,,4600.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,4000.0,Yes,,,5.0,8.0,,4200.0,,Regular job,Service and sales workers
No,Yes,,5.0,6.0,3500.0,Yes,,,5.0,8.0,,7200.0,,Regular job,Professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,1.0,8.0,800.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,7.0,90.0,No,Yes,,0.0,0.0,,,,Casual work,Elementary occupations
No,No,Yes,5.0,8.0,2000.0,Yes,,,,,9000.0,,,I run a business,
Yes,,,5.0,11.0,6500.0,Yes,,,5.0,11.0,,6500.0,,Regular job,"Plant and machine operators, and assemblers"
Yes,,,0.0,0.0,0.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,3500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,1.0,2.0,100.0,No,No,Yes,1.0,2.0,,,,Casual work,Self-Employed
No,Yes,,4.0,3.0,3500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,Yes,,,7.0,5.0,,,,,Craft and related trades workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,5.0,8.0,5400.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,5.0,1250.0,No,No,No - I'm employed,5.0,5.0,,5000.0,,Casual work,Elementary occupations
No,Yes,,4.0,8.0,700.0,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,No,No,No - I did nothing,,,,,Yes,Regular job,Craft and related trades workers
Yes,,,5.0,9.0,9000.0,Yes,,,4.0,9.0,,6000.0,,Regular job,Elementary occupations
Yes,,,6.0,10.0,7000.0,Yes,,,6.0,10.0,,7000.0,,Regular job,Service and sales workers
Yes,,,6.0,9.0,1000.0,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,2600.0,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
Yes,,,7.0,8.0,,No,Yes,,,,,,,Regular job,Clerical support workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
"No, I'm retired",,,,,,,,,,,,,,,
No,No,Yes,,,980.0,No,No,No - I did nothing,,,,,No,,
Yes,,,3.0,8.0,1100.0,No,No,No - I did nothing,,,,,,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
No,No,Yes,6.0,,1000.0,No,Yes,,,,5000.0,,,Self-employed,
Yes,,,7.0,12.0,3100.0,Yes,,,7.0,12.0,,3100.0,,Regular job,Service and sales workers
No,Yes,,2.0,,1500.0,No,No,No - I did nothing,,,,,No,,
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,7.0,12.0,2000.0,Yes,,,7.0,12.0,,4350.0,,Casual work,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,Yes,Self-employed,
Yes,,,5.0,12.0,,No,Yes,,7.0,12.0,,,,Regular job,Technicians and associate professionals
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
Yes,,,5.0,8.0,,Yes,,,5.0,12.0,,4000.0,,Regular job,Service and sales workers
Yes,,,5.0,12.0,4900.0,Yes,,,5.0,12.0,,4800.0,,Regular job,Service and sales workers
No,No,No - I did nothing,,,,No,No,No - I did nothing,,,,,No,,
