,job_in_apr,work_in_apr,src_income_before_apr,lost_income_in_apr,total_income_in_apr,uif_in_apr,grant_from_gov_ques,grant_from_gov
0,No,No,Income from a business,No,,No,Yes,Disability Grant
2,No,No,Government grants,Yes,1500.0,No,Yes,Child Support Grant (CSG)
3,No,No,Government grants,Yes,4200.0,Yes,Yes,Child Support Grant (CSG)
19,No,No,Income from employment,No,,No,Yes,Child Support Grant (CSG)
30,No,No,Government grants,No,4200.0,Yes,Yes,Old Age Pension Grant (OAP)
43,No,No,Money from friends or family,Yes,1800.0,Yes,Yes,Disability Grant
47,No,No,Government grants,No,8600.0,Yes,Yes,Social relief or distress grant
59,No,No,Government grants,Yes,1400.0,Yes,Yes,Old Age Pension Grant (OAP)
62,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
71,No,No,Income from a business,Yes,1500.0,No,Yes,Child Support Grant (CSG)
75,No,No,Government grants,Yes,2200.0,Yes,Yes,Child Support Grant (CSG)
77,No,No,Government grants,No,0.0,Yes,Yes,Child Support Grant (CSG)
79,No,No,Government grants,No,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
80,No,No,Government grants,No,1380.0,No,Yes,Child Support Grant (CSG)
82,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
84,No,Yes,Income from a business,Yes,4500.0,Yes,Yes,Child Support Grant (CSG)
86,No,No,Government grants,Yes,840.0,No,Yes,Child Support Grant (CSG)
91,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
94,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
104,No,No,Government grants,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
107,No,No,Government grants,No,700.0,Yes,Yes,Child Support Grant (CSG)
113,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
121,No,No,Money from friends or family,No,2700.0,Yes,Yes,Old Age Pension Grant (OAP)
125,No,No,Government grants,No,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
134,No,No,Income from employment,No,0.0,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
139,No,Yes,Income from a business,Yes,3900.0,Yes,Yes,Child Support Grant (CSG)
144,No,No,Income from employment,No,4700.0,Yes,Yes,Disability Grant
157,No,No,Government grants,No,2300.0,Yes,Yes,Child Support Grant (CSG)
163,No,No,Government grants,Yes,1880.0,Yes,Yes,Child Support Grant (CSG)
166,No,No,Government grants,No,1700.0,Yes,Yes,Child Support Grant (CSG)
168,No,No,Government grants,Yes,1200.0,No,Yes,Child Support Grant (CSG)
170,No,No,Government grants,No,1800.0,Yes,Yes,Old Age Pension Grant (OAP)
174,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
185,No,No,Income from employment,Yes,,Yes,Yes,Old Age Pension Grant (OAP)
198,No,No,Income from a business,Yes,840.0,Yes,Yes,Child Support Grant (CSG)
210,No,No,Household had no income in February,No,1850.0,Yes,Yes,Old Age Pension Grant (OAP)
221,No,No,Government grants,No,3500.0,Yes,Yes,Child Support Grant (CSG)
224,No,No,Government grants,Yes,400.0,Yes,Yes,Child Support Grant (CSG)
225,No,No,Government grants,Yes,,Yes,Yes,Disability Grant
230,No,No,Government grants,Yes,33000.0,No,Yes,Child Support Grant (CSG)
242,No,No,Government grants,No,2550.0,Yes,Yes,Disability Grant
244,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
245,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
246,No,No,Government grants,Yes,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
256,No,No,Money from friends or family,No,,No,Yes,Child Support Grant (CSG)
257,No,No,Income from employment,Yes,840.0,No,Yes,Child Support Grant (CSG)
259,No,No,Government grants,No,,Yes,Yes,Disability Grant
299,No,No,Income from employment,No,4800.0,Yes,Yes,Child Support Grant (CSG)
309,No,No,Government grants,Yes,,No,Yes,Child Support Grant (CSG)
313,No,No,Income from employment,No,750.0,No,Yes,Child Support Grant (CSG)
314,No,No,Government grants,Yes,3000.0,No,Yes,Social relief or distress grant
328,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
344,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
361,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
403,No,No,Government grants,Yes,2910.0,Yes,Yes,Old Age Pension Grant (OAP)
410,No,No,Income from employment,Yes,,Yes,Yes,Social relief or distress grant
413,No,No,Government grants,Yes,500.0,Yes,Yes,Child Support Grant (CSG)
427,No,Yes,Income from a business,No,2900.0,Yes,Yes,Care Dependency Grant
433,No,No,Income from employment,Yes,2240.0,Yes,Yes,Old Age Pension Grant (OAP)
440,No,No,Government grants,No,1300.0,Yes,Yes,Child Support Grant (CSG)
447,No,No,Government grants,Yes,,No,Yes,Old Age Pension Grant (OAP)
449,No,No,Government grants,Yes,,Yes,Yes,R350 COVID-19 Social Relief of Distress Grant
450,No,No,Government grants,No,,Yes,Yes,Child Support Grant (CSG)
462,No,No,Government grants,No,2260.0,Yes,Yes,Old Age Pension Grant (OAP)
491,No,No,Government grants,No,3980.0,Yes,Yes,Disability Grant
493,No,No,Government grants,Yes,2100.0,Yes,Yes,Child Support Grant (CSG)
496,No,No,Household had no income in February,No,,Yes,Yes,Old Age Pension Grant (OAP)
499,No,No,Government grants,No,400.0,No,Yes,Old Age Pension Grant (OAP)
505,No,No,Money from friends or family,Yes,3000.0,Yes,Yes,Old Age Pension Grant (OAP)
509,No,No,Other (specify),Yes,2000.0,Yes,Yes,Foster Child Grant
512,No,No,Government grants,Yes,740.0,No,Yes,Foster Child Grant
531,No,No,Government grants,No,880.0,No,Yes,Child Support Grant (CSG)
548,No,No,Government grants,No,2000.0,Yes,Yes,Old Age Pension Grant (OAP)
552,No,No,Government grants,No,,Yes,Yes,Old Age Pension Grant (OAP)
560,No,No,Income from employment,No,,Yes,Yes,Child Support Grant (CSG)
