Uqno,PERSONNO,BUSNSNO,Province,Q13GENDER,Q14AGE,Q15POPULATION,Q16MARITALSTATUS,Q17EDUCATION,Q4VAT,Q5incometax,Q6licence,Q71municipality,Q72ProfAssociation,Q73Busassociation,Q74Tradleader,Q75Protcagency,Q76Friend,Q77Cips,Q78Other,Q79Landlord,Q8OwnerType,Q10Binduscode,Q11Ownership,Q12HsePartners,Q13NoPartners,Q14OthrPartners,Q15NoPartners,Q16MainOwner,Q17Location,Q18Tempstructure,Q19PayLocation,Q19A1Municipality,Q19A2Profassociation,Q19A3Busnsassociation,Q19A4Traditionalleader,Q19A5Protectionagency,Q19A6Friend,Q19A7Owner,Q19A8Other,Q19BPAYLOCPROOF,Q20Costlocation,Q21Electricity,Q22Water,Q23ToiletFacility,Q24COMMUNICATION,Q25Typrecord,Q26Recseperate,Q27RSNRECNOTKEPT,Q28Duration,Q29Turnover12Mnth,Q29aa1JUL,Q29ab2AUG,Q29ac3SEP,Q29ad4OCT,Q29ae5NOV,Q29af6DEC,Q29ag7JAN,Q29ah8FEB,Q29ai9MAR,Q29aj10APR,Q29ak11MAY,Q29al12JUN,Q30Rsnless12Mnth,Q31BusStarted,Q32MainReason,Q33FinSupport,Q34OwnMoney,Q35MainSource,Q36Totownmoney,Q37BorMoney,Q381Combanks,Q382Friends,Q383CrSociety,Q384MnyLender,Q385Partner,Q386Busnsass,Q387NGO,Q388Other,Q389GOV,Q39Totbormoney,Q40Payoffloan,Q41TotPayoff,Q42Grant,Q431Government,Q432NGO,Q433Othr,Q434PRIVATE,Q44RawMaterial,Q45Costrawmat,Q46Supplier,Q47Costsupp,Q48Turnoverlstmnth,Q49OthrIncome,Q501AltLocation,Q502Loans,Q503Marketing,Q504Material,Q505GovRegulation,Q506Technology,Q507Contracts,Q508Other,Q51Assistance,Q52advice,Q53Employer,Q541Pdlstyear,Q541Unpdlstyear,Q542Pdlstmnth,Q542Unpdlstmnth,Q543PdLstweek,Q543UnPdlstweek,Q544Pdfstmnth,Q544Npdfstmnth,Q551PdFulltime,Q551UnPdfulltime,Q552PdParttime,Q552UnPdparttime,Q561PdMale,Q561UnPdmale,Q562PdFemale,Q562Unpdfemale,Q571PdBlack,Q571UnPdBlack,Q572PdCoulord,Q572UnPdCoulord,Q573PdIndian,Q573UnPdIndian,Q574PdWhite,Q574UnpdWhite,Q575PdOther,Q575UnpdOther,Q581Pd15_24,Q581Unpd15_24,Q582Pd25_34,Q582Unpd25_34,Q583Pd35_44,Q583Unpd35_44,Q584Pd45_54,Q584Unpd45_54,Q585Pd55_64,Q585Unpd55_64,Q586PdMore64,Q586UnpdMore64,Q587PdUnder15,Q587UnpdUnder15,Q591Empl_Salary,Q592Empl_Inkind,Q593Empl_Transprt,Q594Empl_Other,Q601Own_Salary,Q602Own_Inkind,Q603Own_Transprt,Q604Own_Other,Q611CstElec,Q612cstwater,Q613cstfuel,Q614cstspares,Q615cstrent,Q616cstmach,Q617csttele,Q618csttrans,Q619cstrepair,Q6110cstbusserv,Q6111cstlicense,Q6112cstinterest,Q6113cstins,Q6114csttax,Q6115cstprotect,Q6116cstother,Q621cstmachinery,Q622CstTools,Q623cstvehicles,Q624cstbuildings,Q625cstFurniture,Q626cstother,Q63netprofit,Q64Avenetprofit,Q65Actprofit,Q66debts,Q67Totaldebt,Q68Transport,Q69transservice,Q70TypGoods,Q71NotVat,Q72NotRegistax,Q73SavAccount,Q74InvestAccount,Q75LoanAccount,Q76AssetFin,Q77MotrtLoan,Q78CreditFac,Q79Shrttrmins,Q80PymtSavAcc,Q81BUSPYMT,Q82FinOmbus,Q83FinEdu,Education_Status,Indus,metro_code,Geo_type_code,Stratum,weight
165101480000011401,01,1,Western Cape,Male,36,Coloured,Never married,N6/NTC 6,No,Yes,No,,,,,,,,,,Own account-worker (without employees),Renting of personal and household goods N.E.C.,Yes,,,,,,In a non-residential building (e.g. an office block or factory),Permanent,Yes,No,No,No,No,No,No,Yes,No,Yes,7000,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,Full annual accounts,"Yes, they are all recorded separately",,12,120000,Low,Low,High,High,High,High,Low,High,High,High,Normal,Normal,,1 or more but less than 3 years ago,I have the skills for this business,Yes,Yes,Pension from work,270000,No,,,,,,,,,,,,,No,,,,,No,,Yes,17000,8000,0,No,Yes,No,No,No,No,Yes,No,Better access to loans,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,200,0,0,0,700,0,400,0,0,0,300,0,1000,500,0,0,0,0,0,0,0,0,8000,10000,Re-invest in the business,No,,No,,,The business does not meet registration requirements,,"Yes, from bank",No,No,No,No,No,Yes,Yes,Internet/ cellphone banking,Yes,Yes,Tertiary,"Financial intermediation, insurance, real estate and business services",1,1,10102,2209.128579288
166102850000001101,03,1,Western Cape,Male,41,African/Black,Married,No schooling,No,No,No,,,,,,,,,,Own account-worker (without employees),Retail trade not in stores,Yes,,,,,,"On a footpath, street or open space","RENT FREE, WITHOUT PERMISSION (SQUATTING)",,,,,,,,,,,,No,Public tap/shared tap with others,None,None,No accounts kept,,The business is too small,12,400,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,1 or more but less than 3 years ago,Unemployed,Yes,Yes,Previous and/or present wage employment,3000,No,,,,,,,,,,,,,No,,,,,No,,Yes,1000,33,0,Yes,No,No,No,No,No,No,No,,No advice received,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0,0,0,0,0,200,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,2000,Spend it on items for the household,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,No,No,No schooling,Wholesale and retail trade,1,1,10109,2181.455377893
166102850000019301,01,1,Western Cape,Male,36,African/Black,Married,Do not know,No,No,No,,,,,,,,,,Own account-worker (without employees),Other land transport,Yes,,,,,,Within the owner’s dwelling/s – with its own space (e.g. a separate room),Permanent,No,,,,,,,,,,,Yes,Piped (Tap) water on site,Flush toilet on site,Cellular telephone,No accounts kept,,The business is too small,3,,,,,,,,,,,,,,No customers,Less than a year ago,Unhappiness with previous work,Yes,Yes,Previous and/or present wage employment,1500,No,,,,,,,,,,,,,No,,,,,No,,No,,4000,0,No,No,No,No,No,Yes,No,No,,No advice received,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,0,0,0,0,0,800,0,,0,200,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,3000,3000,Spend it on items for the household,No,,Yes,Passenger transport with combis/mini-buses,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,No,No,Other,"Transport, storage and communication",1,1,10109,2379.518033395
168100990000001501,01,1,Western Cape,Male,60,White,Married,Grade 12/Standard 10/Form 5/Matric,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Own account-worker (without employees),Restaurants,Yes,,,,,,In a non-residential building (e.g. an office block or factory),Permanent,Yes,No,No,No,No,No,No,Yes,No,Yes,1400,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,Full annual accounts,"Yes, they are all recorded separately",,12,600000,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,10 or more years ago,Retrenched,Yes,Yes,Pension from work,40000,No,,,,,,,,,,,,,No,,,,,Yes,20000,Yes,6000,40000,0,No,No,No,No,No,No,No,No,,No advice received,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,0,0,0,2500,0,1000,0,140,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,Re-invest in the business,No,,No,,,The business does not meet registration requirements,,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Internet/ cellphone banking,Yes,No,Secondary completed,Wholesale and retail trade,1,1,10102,2028.942829488
169100760000002001,01,1,Western Cape,Female,30,Coloured,Never married,Grade 12/Standard 10/Form 5/Matric,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Employer (with employees),Business activities N.E.C.,Yes,,,,,,Within the owner’s dwelling/s – with its own space (e.g. a separate room),Permanent,No,,,,,,,,,,,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,Full annual accounts,"Yes, they are all recorded separately",,12,60000,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,1 or more but less than 3 years ago,Inherited/family tradition,Yes,Yes,Other business,20000,No,,,,,,,,,,,,,No,,,,,Yes,8000,No,,25000,0,No,No,No,No,No,No,Yes,No,,Friends and relatives,Yes,6,0,6,0,6,0,3,0,3,0,3,00,0,0,0,00,0,0,0,0,0,0,0,0,00,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,24000,0,0,0,14000,0,0,0,750,0,3500,0,,0,0,500,0,0,550,0,0,0,0,0,0,0,0,0,0,0,15000,30000,Save it in the bank,No,,Yes,Passenger transport with combis/mini-buses,,The business does not meet registration requirements,,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),A bank branch / personal banking,Yes,No,Secondary completed,"Financial intermediation, insurance, real estate and business services",1,1,10105,1441.058368354
171100050000014001,01,1,Western Cape,Male,59,Coloured,Married,Grade 7/Standard 5/ ABET 3,No,No,No,,,,,,,,,,Employer (with employees),Maintenance and re-pair of motor vehicles,Yes,,,,,,In a non-residential building (e.g. an office block or factory),Permanent,No,,,,,,,,,,,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,No accounts kept,,Don’t see a need to keep records,12,39000,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,,1 or more but less than 3 years ago,Retrenched,No,,,,,,,,,,,,,,,,,,,,,,No,,No,,1200,0,No,No,Yes,No,No,Yes,Yes,No,Forming contacts with others in similar businesses for cooperation,No advice received,Yes,0,2,0,2,0,0,0,0,0,0,0,00,0,0,0,00,0,0,0,0,0,0,0,0,00,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1000,0,0,3000,500,0,0,200,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,2000,Spend it on items for the household,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,Yes,No,Primary completed,Wholesale and retail trade,1,1,10111,1737.038991483
177103060000012501,01,1,Western Cape,Male,30,Coloured,Never married,Diploma with Grade 12/Std 10,No,No,No,,,,,,,,,,Own account-worker (without employees),Maintenance and repair of office,Yes,,,,,,Within the owner’s dwelling/s – without its own space (e.g. a family room),Permanent,No,,,,,,,,,,,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,Full annual accounts,"Yes, they are all recorded separately",,12,108000,Low,Low,Normal,Normal,Normal,Normal,Low,Low,Normal,Normal,Normal,High,,1 or more but less than 3 years ago,Unemployed,Yes,Yes,Other business,15000,No,,,,,,,,,,,,,No,,,,,No,,No,,12000,0,No,Yes,Yes,No,No,No,Yes,No,Better access to loans,No advice received,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,0,200,0,400,0,200,0,308,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,Save it in the bank,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,"Yes, from bank",No,No,No,No,No,Not applicable (no account),Yes,Debit card/ pay cash,Yes,Yes,Tertiary,"Financial intermediation, insurance, real estate and business services",1,1,10102,3630.502443408
178100730000003001,02,1,Western Cape,Female,27,White,Married,Higher diploma,No,No,No,,,,,,,,,,Own account-worker (without employees),OTHER SERVICE ACTIVITIES,Yes,,,,,,Within another person’s dwelling (e.g. a neighbour’s dwelling),Temporary,Yes,No,No,No,No,No,No,Yes,No,Yes,1450,Yes,Piped (Tap) water in structure,Flush toilet off site,Cellular telephone,Some accounts but not full (for example expenditures),"Yes, they are all recorded separately",,11,,,,,,,,,,,,,,"Other personal reasons than sickness (pregnancy, etc)",5 or more but less than 10 years ago,Unemployed,Yes,Yes,Inheritance,30000,No,,,,,,,,,,,,,No,,,,,No,,Yes,2000,7000,0,Yes,No,Yes,No,No,No,No,No,Assistance with marketing,Friends and relatives,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,0,0,0,300,0,400,0,145,0,220,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,3000,Spend it on items for the household,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,Yes,No,Tertiary,"Community, social and personal services",1,1,10102,4245.526159144
178100850000019001,03,1,Western Cape,Female,49,Coloured,Never married,Grade 11/Standard 9/Form 4,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Employer (with employees),OTHER SERVICE ACTIVITIES,Yes,,,,,,In a non-residential building (e.g. an office block or factory),Permanent,Yes,No,No,No,No,No,No,Yes,No,Yes,3800,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,Some accounts but not full (for example expenditures),"No, they are all recorded together",,12,14000,Normal,Normal,High,High,High,High,Low,Low,Normal,Normal,Normal,Normal,,5 or more but less than 10 years ago,I have the skills for this business,Yes,No,,,Yes,No,No,No,No,No,No,No,No,Yes,20000,No,,No,,,,,No,,Yes,500,6000,0,No,No,No,No,No,No,No,No,,Friends and relatives,Yes,2,0,2,0,1,0,1,0,1,0,0,00,,0,1,00,1,0,0,0,0,0,0,0,00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000,0,0,0,3000,0,0,0,1000,300,500,0,380,0,400,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,25000,Re-invest in the business,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,Yes,No,Secondary not completed,"Community, social and personal services",1,1,10102,2369.909867791
178101140000011501,02,1,Western Cape,Female,24,Coloured,Never married,Grade 10/Standard 8/Form 3,No,No,No,,,,,,,,,,Own account-worker (without employees),Manufacture of other food products,Yes,,,,,,Within the owner’s dwelling/s – without its own space (e.g. a family room),Permanent,No,,,,,,,,,,,Yes,Piped (Tap) water in structure,Flush toilet on site,Cellular telephone,No accounts kept,,Don’t see a need to keep records,4,,,,,,,,,,,,,,Business created during the past 12 months,Less than a year ago,Unhappiness with previous work,Yes,Yes,Previous and/or present wage employment,800,No,,,,,,,,,,,,,No,,,,,Yes,200,No,,300,0,No,No,Yes,No,No,No,Yes,No,Assistance with marketing,No advice received,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,0,0,400,100,0,0,,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,300,Spend it on items for the household,No,,No,,,The business does not meet registration requirements,The business does not meet registration requirements,No,No,No,No,No,No,Not applicable (no account),Not applicable (no account),Debit card/ pay cash,No,No,Secondary not completed,Manufacturing,1,1,10105,2213.436714923
